_id,kitchenName,itemList[0].itemName,itemList[0].itemType,itemList[0].itemDescription,packageName,orderNo,addOns[0].addOnName,addOns[1].addOnName,addOns[2].addOnName,addOns[3].addOnName,addOns[0].count,addOns[1].count,addOns[2].count,addOns[3].count,beforePackingImageUrl,afterPackingImageUrl,sop_ground_truth,processed_at,processing_version,has_valid_food_sop
694a6c186723e745e5396d7d,Febi cuisine,Deluxe - Monthly,Veg,"3 Chapati, 1 Veg Curry, Rice, Dal, Cut Salad",Deluxe - Monthly,70000001882,None,None,None,None,0.0,0.0,0.0,0.0,https://api.mealawe.com/images/fff2ef53465041ab9dfd1d6c1e35bdd1.jpg,https://api.mealawe.com/images/674fd2a0ba56473d93ef3319e13f16a1.jpg,"{'packageName': 'Deluxe - Monthly', 'sop_ground_truth': {'Chapati': 3, 'Veg curry': 1, 'Rice': 1, 'Dal': 1, 'Salad': 1}}",2026-02-04T14:22:56.119896,CORRECTED_v3.0_proper_format_and_filtering,True
6965103795660405bfb29036,Joe's Kitchen,Deluxe - Monthly,Veg,"3 Chapati, 1 Veg Curry, Rice, Dal, Cut Salad",Deluxe - Monthly,70000010144,1 Chapati Extra,None,None,None,1.0,0.0,0.0,0.0,https://api.mealawe.com/images/fff2bf129f0640a68ce37d49b480ccea.jpg,https://api.mealawe.com/images/aad317fc0a1147cb9732b42995067561.jpg,"{'packageName': 'Deluxe - Monthly', 'sop_ground_truth': {'Chapati': 4, 'Veg curry': 1, 'Rice': 1, 'Dal': 1, 'Salad': 1}}",2026-02-04T14:22:56.119896,CORRECTED_v3.0_proper_format_and_filtering,True
6941475a27d163395a189b9e,OYO BLR3220,Deluxe - Monthly,Veg,"3 Chapati, 1 Veg Curry, Rice, Dal, Cut Salad",Deluxe - Monthly,20040039,None,None,None,None,0.0,0.0,0.0,0.0,https://api.mealawe.com/images/fff1cb488d0342cd9d1ece8f7f33b2dc.jpg,https://api.mealawe.com/images/597233fe79d84b06a7e2080a7e3d580f.jpg,"{'packageName': 'Deluxe - Monthly', 'sop_ground_truth': {'Chapati': 3, 'Veg curry': 1, 'Rice': 1, 'Dal': 1, 'Salad': 1}}",2026-02-04T14:22:56.119896,CORRECTED_v3.0_proper_format_and_filtering,True
6963ba1c43e1b3559fabee5d,OYO BLR3220,Special Thali - Biweekly,Veg,"3 Chapati/Roti, 2 Veg Curry/Dry, 1 Dal, 1 Steamed Rice, Cut Salad, Sweet",Special Thali - Biweekly,70000009515,None,None,None,None,0.0,0.0,0.0,0.0,https://api.mealawe.com/images/ffe509935dbd4abca85f55fa94e7e9a8.jpg,https://api.mealawe.com/images/dc5ade47093641039910d750d86d948a.jpg,"{'packageName': 'Special Thali - Biweekly', 'sop_ground_truth': {'Chapati': 3, 'Veg curry': 2, 'Dal': 1, 'Steamed': 1, 'Rice': 1, 'Salad': 1, 'Sweet': 1}}",2026-02-04T14:22:56.119896,CORRECTED_v3.0_proper_format_and_filtering,True
697b2179544b02396b92049d,OYO BLR3220,Rice Combo - Trial (3 Days),Veg,Rice Combos,Rice Combo - Trial (3 Days),70000014994,None,None,None,None,0.0,0.0,0.0,0.0,https://api.mealawe.com/images/ffcd6117bc7743b794d1a39453a173a6.jpg,https://api.mealawe.com/images/2b809bf4ce9f46a197b9a135ae73e4a2.jpg,"{'packageName': 'Rice Combo - Trial (3 Days)', 'sop_ground_truth': {'Rice': 1, 'Veg Curry/Dal': 1, 'Salad': 1}}",2026-02-04T14:22:56.119896,CORRECTED_v3.0_proper_format_and_filtering,True
6969b7ed0fa3cb1d3b5dc144,Vrushant's Kitchen,Deluxe - Biweekly,Veg,"3 Chapati, 1 Veg Curry, Rice, Dal, Cut Salad",Deluxe - Biweekly,70000011199,None,None,None,None,0.0,0.0,0.0,0.0,https://api.mealawe.com/images/ffcc3ae5c1104adb8a9f991d5de3e696.jpg,https://api.mealawe.com/images/8061a5f00efa442b9a9e0c9a4b5b1f0a.jpg,"{'packageName': 'Deluxe - Biweekly', 'sop_ground_truth': {'Chapati': 3, 'Veg curry': 1, 'Rice': 1, 'Dal': 1, 'Salad': 1}}",2026-02-04T14:22:56.119896,CORRECTED_v3.0_proper_format_and_filtering,True
696063ad991b2c05bedf0896,RZ Homely Kitchen,14 Day Plan - Flexi,Veg,"3 Chapati/Roti, 2 Veg Curry/Dry, 1 Dal, 1 Steamed Rice, Cut Salad, Sweet",14 Day Plan - Flexi,70000008781,None,None,None,None,0.0,0.0,0.0,0.0,https://api.mealawe.com/images/ffc89a9fbb5146a6ae4e831f1b76efa8.jpg,https://api.mealawe.com/images/274bc15990ad4f74b36fb3457eb489de.jpg,"{'packageName': '14 Day Plan - Flexi', 'sop_ground_truth': {'Chapati': 3, 'Veg curry': 2, 'Dal': 1, 'Steamed': 1, 'Rice': 1, 'Salad': 1, 'Sweet': 1}}",2026-02-04T14:22:56.119896,CORRECTED_v3.0_proper_format_and_filtering,True
6963cdf18b0b451d41ef56c5,Mahika's Kitchen,Standard - Weekly,Veg,"3 Chapati, 1 Veg Curry, Cut Salad",Standard - Weekly,70000009617,None,None,None,None,0.0,0.0,0.0,0.0,https://api.mealawe.com/images/ffbea8bc057d40df92b7a00d48052d93.jpg,https://api.mealawe.com/images/ace0a0305d994c25884a81e94b3fa8da.jpg,"{'packageName': 'Standard - Weekly', 'sop_ground_truth': {'Chapati': 3, 'Veg curry': 1, 'Salad': 1}}",2026-02-04T14:22:56.119896,CORRECTED_v3.0_proper_format_and_filtering,True
69399e43f3b4cc0568d27325,Home flavour kitchen,Deluxe - Biweekly,Veg,"3 Chapati, 1 Veg Curry, Rice, Dal, Cut Salad",Deluxe - Biweekly,20038372,None,None,None,None,0.0,0.0,0.0,0.0,https://api.mealawe.com/images/ffb159e5a03d4c13bee2f5c8e8f51336.jpg,https://api.mealawe.com/images/45517274a6e6442a8a58be97912dafdc.jpg,"{'packageName': 'Deluxe - Biweekly', 'sop_ground_truth': {'Chapati': 3, 'Veg curry': 1, 'Rice': 1, 'Dal': 1, 'Salad': 1}}",2026-02-04T14:22:56.119896,CORRECTED_v3.0_proper_format_and_filtering,True
695cbfc0991b2c05bede4272,Green wish kitchen,Deluxe - Monthly,Veg,"3 Chapati, 1 Veg Curry, Rice, Dal, Cut Salad",Deluxe - Monthly,70000007515,None,None,None,None,0.0,0.0,0.0,0.0,https://api.mealawe.com/images/ffb0e3f5b53f4833a99e02472a2b2cb3.jpg,https://api.mealawe.com/images/2343e565cdf14a409167a1d35e8e824a.jpg,"{'packageName': 'Deluxe - Monthly', 'sop_ground_truth': {'Chapati': 3, 'Veg curry': 1, 'Rice': 1, 'Dal': 1, 'Salad': 1}}",2026-02-04T14:22:56.119896,CORRECTED_v3.0_proper_format_and_filtering,True
